observation_id,choice,total_travel_time_walk_transit_walk,total_travel_time_drive_alone,total_travel_cost_walk_transit_walk,total_travel_cost_drive_alone
646,walk_transit_walk,57.4,29.4,5.84,1.4396
647,drive_alone,60.07,18.68,3.42,0.7873
656,drive_alone,98.74,16.02,3.22,1.1568
657,drive_alone,86.86,22.84,3.22,1.7446
667,walk_transit_walk,88.55,36.81,5.3,7.1481
672,walk_transit_walk,109.81,35.52,8.0,7.3588
673,walk_transit_walk,176.11,35.76,11.14,7.8097
677,drive_alone,198.74,32.6,1.81,3.1878
689,walk_transit_walk,85.02,52.51,5.62,7.6729
690,drive_alone,130.65,35.84,8.76,7.3163
694,walk_transit_walk,75.9,35.64,5.62,7.3791
699,drive_alone,187.39,35.79,6.24,4.1192
700,drive_alone,55.42,13.63,3.22,0.7502
701,drive_alone,126.64,19.82,3.22,1.9903
706,drive_alone,81.77,22.84,3.22,1.3768
707,walk_transit_walk,57.85,23.7,3.22,1.5264
711,drive_alone,60.5,17.68,2.82,0.9572
723,walk_transit_walk,83.59,30.86,3.22,2.1918
724,walk_transit_walk,133.14,43.56,8.88,8.0794
727,drive_alone,46.04,16.2,3.22,0.7946
738,drive_alone,96.13,31.58,5.39,2.6039
739,walk_transit_walk,68.23,22.27,5.84,1.0608
741,walk_transit_walk,91.37,30.03,8.45,2.5095
742,drive_alone,38.02,14.18,3.22,0.3068
743,drive_alone,58.27,20.36,3.22,0.7263
744,walk_transit_walk,111.58,34.02,7.31,6.9467
745,drive_alone,45.69,15.9,3.22,0.5212
751,drive_alone,78.93,20.53,3.22,1.5172
752,drive_alone,87.77,20.61,3.22,1.5172
754,drive_alone,53.21,29.73,5.84,1.7630000000000001
756,walk_transit_walk,70.74,20.24,3.22,1.2344
758,drive_alone,53.28,13.3,3.22,0.6616
760,drive_alone,185.38,39.1,12.02,9.634
